,Price,Area,Location,BHK,New/Resale,Gymnasium,Lift Available,Car Parking,24x7 Security,Clubhouse,Swimming Pool
0,62.0,400,Airoli,1,0,0,1,1,1,0,0
2,149.0,1245,Airoli,2,1,0,1,1,0,0,0
3,140.0,1183,Airoli,2,1,1,1,1,1,1,1
4,148.0,1245,Airoli,2,0,0,1,1,1,0,0
5,64.0,495,Airoli,1,0,0,0,0,0,0,0
7,75.0,600,Airoli,1,0,0,1,0,1,1,0
8,75.0,600,Airoli,1,0,0,1,0,0,0,0
9,76.0,650,Airoli,1,0,0,0,0,0,1,1
10,65.0,650,Airoli,1,0,0,1,0,0,0,0
11,95.0,780,Airoli,1,0,1,1,0,0,0,0
12,66.0,640,Airoli,1,0,0,1,0,0,0,0
13,78.0,660,Airoli,1,0,0,0,0,0,0,0
14,78.0,660,Airoli,1,0,0,1,0,0,0,0
15,59.0,666,Airoli,1,0,0,0,0,0,0,0
16,70.0,700,Airoli,1,0,0,1,0,0,0,0
17,70.0,680,Airoli,1,0,0,0,0,0,0,0
19,61.0,650,Airoli,1,0,0,0,0,0,0,0
20,75.0,675,Airoli,1,0,0,1,0,1,1,0
21,70.0,600,Airoli,1,0,0,0,0,0,0,0
23,84.0,660,Airoli,1,0,0,0,0,0,0,0
24,73.0,600,Airoli,1,0,0,1,0,0,0,0
25,38.74,730,Ambernath East,1,1,0,1,1,1,0,0
26,22.25,595,Ambernath East,1,1,0,1,1,1,0,0
31,23.0,650,Ambernath East,1,1,1,1,0,0,1,0
33,28.0,690,Ambernath East,1,1,1,1,0,0,1,0
34,36.5,725,Ambernath East,1,1,1,1,1,1,1,1
35,31.0,827,Ambernath East,1,1,1,1,1,1,1,0
36,23.74,634,Ambernath West,1,1,1,1,1,1,1,0
38,28.36,709,Ambernath West,1,1,0,1,0,0,0,0
39,31.88,797,Ambernath West,1,1,0,1,0,0,0,0
40,25.2,630,Ambernath West,1,1,0,1,0,0,0,0
41,25.76,644,Ambernath West,1,1,0,1,0,0,0,0
42,28.36,709,Ambernath West,1,1,0,1,0,0,0,0
43,25.2,630,Ambernath West,1,1,0,0,0,0,0,0
44,25.76,644,Ambernath West,1,1,0,0,0,0,0,0
45,30.64,766,Ambernath West,1,1,0,1,0,0,0,0
46,31.88,797,Ambernath West,1,1,0,1,0,0,0,0
47,180.0,1100,Andheri,2,0,1,1,1,1,1,1
48,140.0,1000,Andheri,2,0,1,1,1,1,1,1
49,300.0,1480,Andheri,3,0,0,1,1,1,1,0
50,175.0,650,Andheri,1,0,1,1,1,1,0,0
51,653.0,3025,Andheri,4,1,1,1,1,1,1,1
52,240.0,1000,Andheri,2,0,0,0,1,1,0,0
53,294.0,1450,Andheri,3,1,1,1,1,1,1,1
54,222.0,900,Andheri,3,1,0,1,1,1,0,0
55,153.0,1040,Andheri,2,1,1,1,1,1,1,1
60,168.0,922,Andheri East,2,0,1,1,1,1,1,1
61,175.0,1050,Andheri East,1,0,1,1,1,1,1,1
62,165.0,1020,Andheri East,1,0,1,1,1,1,1,1
66,140.0,650,Andheri East,2,0,0,0,1,1,0,0
67,110.0,620,Andheri East,1,0,1,1,1,1,1,1
69,315.0,1356,Andheri East,3,0,1,1,1,1,1,1
71,250.0,1356,Andheri East,2,0,0,1,1,1,1,0
73,135.0,750,Andheri East,2,0,0,0,0,0,0,0
74,135.0,750,Andheri East,2,0,1,1,0,0,0,1
76,220.0,1000,Andheri East,2,0,0,1,0,0,0,0
78,135.0,550,Andheri East,1,0,0,0,0,0,0,0
79,100.0,600,Andheri East,1,0,0,1,0,0,0,0
80,165.0,850,Andheri East,2,0,0,1,0,0,0,0
82,212.0,859,Andheri East,3,1,1,1,1,1,1,1
83,300.0,1200,Andheri East,3,0,1,1,1,1,1,1
84,310.0,1300,Andheri East,3,0,1,1,1,1,1,1
85,154.0,670,Andheri East,2,1,1,1,1,1,1,1
86,190.0,890,Andheri East,3,1,1,1,1,1,1,1
87,220.0,1100,Andheri East,3,1,1,1,1,1,1,1
93,90.0,560,Andheri East,1,0,0,1,0,0,0,0
95,85.0,550,Andheri East,1,0,0,0,0,0,0,0
96,85.0,550,Andheri East,1,0,0,0,0,0,0,0
97,95.0,650,Andheri East,1,0,1,1,1,1,1,1
98,155.0,850,Andheri East,2,0,1,1,1,1,1,1
100,500.0,2500,Andheri East,6,0,0,1,0,0,0,0
101,169.0,850,Andheri East,2,0,0,1,0,0,0,0
102,150.0,700,Andheri East,2,0,0,0,0,0,0,0
103,125.0,802,Andheri East,1,0,1,1,0,1,1,1
104,140.0,652,Andheri East,1,0,0,0,0,0,0,0
105,250.0,1350,Andheri East,2,0,0,0,0,0,0,0
106,140.0,650,Andheri East,1,0,0,0,0,0,0,0
107,185.0,1020,Andheri East,2,0,0,1,0,0,0,0
108,210.0,1050,Andheri East,2,0,1,1,1,1,1,1
109,365.0,1950,Andheri East,3,0,0,0,0,0,0,0
